"movie","year_of_award","avg_vote","genre","duration","country","period","count","sumMovies"
"Misery",1991,7.8,"Thriller",107,"USA","1981 - 1997",1,41
"Mister Roberts",1956,7.7,"Comedy",123,"USA","1947 - 1963",2,161
"Mister Roberts",1956,7.7,"Drama",123,"USA","1947 - 1963",5,1755
"Mister Roberts",1956,7.7,"War",123,"USA","1947 - 1963",1,83
"Monster",2004,7.3,"Biography",109,"Germany, USA","1998 - 2014",1,147
"Monster",2004,7.3,"Crime",109,"Germany, USA","1998 - 2014",3,126
"Monster",2004,7.3,"Drama",109,"Germany, USA","1998 - 2014",5,1755
"Monster's Ball",2002,7,"Drama",111,"USA","1998 - 2014",5,1755
"Monster's Ball",2002,7,"Romance",111,"USA","1998 - 2014",2,336
"Moonstruck",1988,7.1,"Comedy",102,"USA","1981 - 1997",2,161
"Moonstruck",1988,7.1,"Drama",102,"USA","1981 - 1997",5,1755
"Moonstruck",1988,7.1,"Romance",102,"USA","1981 - 1997",2,336
"Morning Glory",1934,6.5,"Drama",74,"USA","1930 - 1946",3,1755
"Morning Glory",1934,6.5,"Romance",74,"USA","1930 - 1946",2,336
"Mr. Deeds Goes To Town",1937,7.9,"Comedy",115,"USA","1930 - 1946",1,161
"Mr. Deeds Goes To Town",1937,7.9,"Drama",115,"USA","1930 - 1946",5,1755
"Mr. Deeds Goes To Town",1937,7.9,"Romance",115,"USA","1930 - 1946",3,336
"Mrs. Miniver",1942,7.6,"Drama",134,"USA","1930 - 1946",5,1755
"Mrs. Miniver",1942,7.6,"Romance",134,"USA","1930 - 1946",1,336
"Mrs. Miniver",1942,7.6,"War",134,"USA","1930 - 1946",1,83
"Mrs. Miniver",1943,7.6,"Drama",134,"USA","1930 - 1946",4,1755
"Mrs. Miniver",1943,7.6,"Romance",134,"USA","1930 - 1946",3,336
"Mrs. Miniver",1943,7.6,"War",134,"USA","1930 - 1946",3,83
"Murder On The Orient Express",1975,7.3,"Crime",128,"UK, USA","1964 - 1980",3,126
"Murder On The Orient Express",1975,7.3,"Drama",128,"UK, USA","1964 - 1980",5,1755
"Murder On The Orient Express",1975,7.3,"Mystery",128,"UK, USA","1964 - 1980",1,16
"My Cousin Vinny",1993,7.6,"Comedy",120,"USA","1981 - 1997",1,161
"My Cousin Vinny",1993,7.6,"Crime",120,"USA","1981 - 1997",1,126
"My Fair Lady",1965,7.8,"Drama",170,"USA","1964 - 1980",3,1755
"My Fair Lady",1965,7.8,"Family",170,"USA","1964 - 1980",3,20
"My Fair Lady",1965,7.8,"Musical",170,"USA","1964 - 1980",2,31
"Mystic River",2004,7.9,"Crime",138,"USA, Australia","1998 - 2014",3,126
"Mystic River",2004,7.9,"Drama",138,"USA, Australia","1998 - 2014",5,1755
"Mystic River",2004,7.9,"Mystery",138,"USA, Australia","1998 - 2014",2,16
"Mystic River",2003,7.9,"Crime",138,"USA, Australia","1998 - 2014",2,126
"Mystic River",2003,7.9,"Drama",138,"USA, Australia","1998 - 2014",4,1755
"Mystic River",2003,7.9,"Mystery",138,"USA, Australia","1998 - 2014",1,16
"National Velvet",1946,7.3,"Drama",123,"USA","1930 - 1946",5,1755
"National Velvet",1946,7.3,"Family",123,"USA","1930 - 1946",1,20
"National Velvet",1946,7.3,"Sport",123,"USA","1930 - 1946",1,21
"Network",1977,8.1,"Drama",121,"USA","1964 - 1980",5,1755
"No Country For Old Men",2008,8.1,"Crime",122,"USA","1998 - 2014",3,126
"No Country For Old Men",2008,8.1,"Drama",122,"USA","1998 - 2014",4,1755
"No Country For Old Men",2008,8.1,"Thriller",122,"USA","1998 - 2014",2,41
"None But The Lonely Heart",1945,6.5,"Drama",113,"USA","1930 - 1946",5,1755
"None But The Lonely Heart",1945,6.5,"Romance",113,"USA","1930 - 1946",1,336
"Norma Rae",1980,7.3,"Drama",114,"USA","1964 - 1980",5,1755
"Oliver!",1969,7.4,"Drama",153,"UK","1964 - 1980",5,1755
"Oliver!",1969,7.4,"Family",153,"UK","1964 - 1980",1,20
"Oliver!",1969,7.4,"Musical",153,"UK","1964 - 1980",1,31
"On Golden Pond",1982,7.6,"Drama",109,"UK, USA","1981 - 1997",4,1755
"On The Waterfront",1955,8.1,"Crime",108,"USA","1947 - 1963",4,126
