"movie","year_of_award","award","avg_vote","genre","duration","country","period"
"Sophie's Choice",1983,"Best Actress",7.6,"Drama, Romance",150,"UK, USA","1981 - 1997"
"Spartacus",1961,"Best Supporting Actor",7.9,"Adventure, Biography, Drama",197,"USA","1947 - 1963"
"Stagecoach",1940,"Best Supporting Actor",7.9,"Adventure, Drama, Western",96,"USA","1930 - 1946"
"Stalag 17",1954,"Best Actor",8,"Comedy, Drama, War",120,"USA","1947 - 1963"
"Sweet Bird Of Youth",1963,"Best Supporting Actor",7.3,"Drama",120,"USA","1947 - 1963"
"Syriana",2006,"Best Supporting Actor",6.9,"Drama, Thriller",128,"USA, United Arab Emirates","1998 - 2014"
"Tender Mercies",1984,"Best Actor",7.4,"Drama, Music",92,"USA","1981 - 1997"
"The Accidental Tourist",1989,"Best Supporting Actress",6.8,"Drama, Romance",121,"USA","1981 - 1997"
"The Accused",1989,"Best Actress",7.1,"Crime, Drama",111,"Canada, USA","1981 - 1997"
"The Apartment",1961,"Best Director",8.3,"Comedy, Drama, Romance",125,"USA","1947 - 1963"
"The Artist",2012,"Best Director",7.9,"Comedy, Drama, Romance",100,"France, Belgium, USA","1998 - 2014"
"The Artist",2012,"Best Actor",7.9,"Comedy, Drama, Romance",100,"France, Belgium, USA","1998 - 2014"
"The Aviator",2005,"Best Supporting Actress",7.5,"Biography, Drama",170,"Germany, USA","1998 - 2014"
"The Awful Truth",1938,"Best Director",7.7,"Comedy, Romance",90,"USA","1930 - 1946"
"The Bad And The Beautiful",1953,"Best Supporting Actress",7.8,"Drama, Romance",118,"USA","1947 - 1963"
"The Barefoot Contessa",1955,"Best Supporting Actor",7,"Crime, Drama, Mystery",128,"Italy, USA","1947 - 1963"
"The Best Years Of Our Lives",1947,"Best Supporting Actor",8,"Drama, Romance, War",170,"USA","1947 - 1963"
"The Best Years Of Our Lives",1947,"Best Director",8,"Drama, Romance, War",170,"USA","1947 - 1963"
"The Best Years Of Our Lives",1947,"Best Actor",8,"Drama, Romance, War",170,"USA","1947 - 1963"
"The Big Country",1959,"Best Supporting Actor",7.9,"Romance, Western",166,"USA","1947 - 1963"
"The Blind Side",2010,"Best Actress",7.6,"Biography, Drama, Sport",129,"USA","1998 - 2014"
"The Bridge On The River Kwai",1958,"Best Director",8.1,"Adventure, Drama, War",161,"UK, USA","1947 - 1963"
"The Bridge On The River Kwai",1958,"Best Actor",8.1,"Adventure, Drama, War",161,"UK, USA","1947 - 1963"
"The Champ",1932,"Best Actor",7.3,"Drama, Sport",86,"USA","1930 - 1946"
"The Cider House Rules",2000,"Best Supporting Actor",7.4,"Drama, Romance",126,"USA","1998 - 2014"
"The Color Of Money",1987,"Best Actor",7,"Drama, Sport",119,"USA","1981 - 1997"
"The Constant Gardener",2006,"Best Supporting Actress",7.4,"Drama, Mystery, Romance",129,"UK, Germany, USA, China, Kenya","1998 - 2014"
"The Country Girl",1955,"Best Actress",7.3,"Drama, Music",104,"USA","1947 - 1963"
